Site.Plot,Site,Plot,Trt,BAplot.m2.ha,StemsPlot,Tree,Species,Stem,DBH,Health,Height,Status
1.A,1,A,D,6.06375,14,11,EM,1,9.6,3,6.30936,0
1.A,1,A,D,6.06375,14,14,EM,1,22.7,3,16.82496,0
1.A,1,A,D,6.06375,14,1,EM,1,3.9,3,2.1336,0
1.A,1,A,D,6.06375,14,12,CC,1,1,1,1.8288,1
1.A,1,A,D,6.06375,14,13,EM,1,4.9,3,3.77952,0
1.A,1,A,D,6.06375,14,2,CC,1,9.2,2,4.8768,1
1.A,1,A,D,6.06375,14,4,CC,1,1.7,1,2.16408,1
1.A,1,A,D,6.06375,14,3,EM,1,6.1,3,3.62712,0
1.A,1,A,D,6.06375,14,8,EM,1,6.6,1,3.87096,1
1.A,1,A,D,6.06375,14,10,EM,1,5.2,1,2.71272,1
1.B,1,B,H,47.80513889,11,5,EM,1,10.3,1,6.67512,1
1.B,1,B,H,47.80513889,11,1,EM,2,11.3,1,9.47928,1
1.B,1,B,H,47.80513889,11,1,EM,1,13.4,1,9.47928,1
1.B,1,B,H,47.80513889,11,11,EM,1,11.3,4,0,0
1.B,1,B,H,47.80513889,11,10,CC,4,72,1,14.23416,1
1.B,1,B,H,47.80513889,11,3,EM,1,7.4,1,4.4196,1
1.B,1,B,H,47.80513889,11,10,CC,3,9.9,1,14.23416,1
1.B,1,B,H,47.80513889,11,10,CC,2,7.3,1,14.23416,1
1.B,1,B,H,47.80513889,11,9,EM,1,14,1,6.7056,1
1.B,1,B,H,47.80513889,11,11,EM,2,11.3,4,0,0
1.B,1,B,H,47.80513889,11,8,EM,1,5.8,1,4.81584,1
1.B,1,B,H,47.80513889,11,4,EM,1,10.9,1,8.80872,1
1.B,1,B,H,47.80513889,11,10,CC,1,7.8,1,14.23416,1
1.B,1,B,H,47.80513889,11,7,EM,1,15.6,1,9.63168,1
1.B,1,B,H,47.80513889,11,2,EM,1,5.3,1,3.90144,1
1.B,1,B,H,47.80513889,11,6,EM,1,6.7,1,5.05968,1
1.B,1,B,H,47.80513889,11,3,EM,2,6.8,1,4.4196,1
1.B,1,B,H,47.80513889,11,2,EM,2,7.3,1,3.90144,1
1.C,1,C,D,23.47180556,13,5,EM,4,14.4,3,4.38912,0
1.C,1,C,D,23.47180556,13,11,EM,3,8.2,2,4.8768,1
1.C,1,C,D,23.47180556,13,6,EM,2,7.1,2,9.32688,1
1.C,1,C,D,23.47180556,13,9,EM,1,3.4,2,2.34696,1
1.C,1,C,D,23.47180556,13,7,EM,2,11.2,2,9.72312,1
1.C,1,C,D,23.47180556,13,5,EM,3,12.5,3,7.07136,0
1.C,1,C,D,23.47180556,13,4,EM,2,5.8,2,1.31064,1
1.C,1,C,D,23.47180556,13,12,EM,1,5.7,2,4.48056,1
1.C,1,C,D,23.47180556,13,5,EM,2,10.6,3,7.07136,0
1.C,1,C,D,23.47180556,13,11,EM,2,12.2,2,3.71856,1
1.C,1,C,D,23.47180556,13,4,EM,1,2.5,2,2.71272,1
1.C,1,C,D,23.47180556,13,8,EM,1,7.5,2,4.69392,1
1.C,1,C,D,23.47180556,13,6,EM,1,12.6,2,9.32688,1
1.C,1,C,D,23.47180556,13,12,EM,2,7.8,2,2.86512,1
1.C,1,C,D,23.47180556,13,7,EM,1,10.9,2,9.72312,1
1.C,1,C,D,23.47180556,13,2,EM,1,4,3,2.77368,0
1.C,1,C,D,23.47180556,13,1,AF,1,2.9,3,2.07264,0
1.C,1,C,D,23.47180556,13,10,EM,2,7.4,3,4.51104,0
1.C,1,C,D,23.47180556,13,3,EM,1,4,3,2.01168,0
1.C,1,C,D,23.47180556,13,11,EM,4,9.4,2,7.04088,1
1.C,1,C,D,23.47180556,13,1,AF,2,1.4,3,2.07264,0
1.C,1,C,D,23.47180556,13,11,EM,1,6.1,2,2.62128,1
1.C,1,C,D,23.47180556,13,7,EM,3,11.8,2,9.72312,1
1.C,1,C,D,23.47180556,13,10,EM,1,39.5,3,6.88848,0
1.C,1,C,D,23.47180556,13,5,EM,1,10.5,3,7.07136,0
1.D,1,D,H,94.66409722,10,10,BG,1,5.7,3,2.92608,0
1.D,1,D,H,94.66409722,10,8,EM,1,28,1,12.43584,1
1.D,1,D,H,94.66409722,10,9,EM,1,17.3,2,9.78408,1
1.D,1,D,H,94.66409722,10,5,EM,2,15.1,1,12.61872,1
1.D,1,D,H,94.66409722,10,7,EM,1,4.4,1,3.07848,1
1.D,1,D,H,94.66409722,10,1,BG,2,1.7,2,2.01168,1
1.D,1,D,H,94.66409722,10,4,EM,1,5.7,1,3.56616,1
1.D,1,D,H,94.66409722,10,1,BG,1,2.5,2,2.01168,1
1.D,1,D,H,94.66409722,10,2,CC,2,10.1,3,19.53768,0
1.D,1,D,H,94.66409722,10,2,CC,3,84,3,19.53768,0
1.D,1,D,H,94.66409722,10,2,CC,1,12.8,3,19.53768,0
1.D,1,D,H,94.66409722,10,3,CC,1,67,1,18.4404,1
1.D,1,D,H,94.66409722,10,6,EM,1,13.6,1,9.81456,1
